SITE_ID,dataset,start_year,end_year,path,dup,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent
US-Ro5,AmeriFlux,2017,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Ro5_FLUXNET2015_FULLSET_MM_2017-2017_beta-5.csv,False,CRO,283.0,44.691,-93.0576,Rosemount I18_South,25,4,Dfa,Cold,rotation,24.84
US-Ro6,AmeriFlux,2017,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Ro6_FLUXNET2015_FULLSET_MM_2017-2017_beta-5.csv,False,CRO,282.0,44.6946,-93.0578,Rosemount I18_North,25,4,Dfa,Cold,rotation,24.84
US-Rws,AmeriFlux,2014,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Rws_FLUXNET2015_FULLSET_MM_2014-2017_beta-5.csv,False,OSH,1425.0,43.1675,-116.7132,Reynolds Creek Wyoming big sagebrush,7,2,BSk,Arid,C3,0.08
US-SRG,AmeriFlux,2008,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-SRG_FLUXNET2015_FULLSET_MM_2008-2017_beta-5.csv,True,GRA,1291.0,31.7894,-110.8277,Santa Rita Grassland,6,2,BSh,Arid,C4,55.39
US-Seg,AmeriFlux,2007,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Seg_FLUXNET2015_FULLSET_MM_2007-2017_beta-3.csv,False,GRA,1622.0,34.3623,-106.7019,Sevilleta grassland,5,2,BWk,Arid,mix,0.24
US-Ses,AmeriFlux,2007,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Ses_FLUXNET2015_FULLSET_MM_2007-2017_beta-3.csv,False,OSH,1593.0,34.3349,-106.7442,Sevilleta shrubland,5,2,BWk,Arid,C3,0.24
US-Tw1,AmeriFlux,2011,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Tw1_FLUXNET2015_FULLSET_MM_2011-2017_beta-5.csv,True,WET,-5.0,38.1074,-121.6469,Twitchell Wetland West Pond,8,3,Csa,Temperate,C3,1.03
US-Tw2,AmeriFlux,2012,2013,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Tw2_FLUXNET2015_FULLSET_MM_2012-2013_beta-4.csv,True,CRO,-5.0,38.1047,-121.6433,Twitchell Corn,8,3,Csa,Temperate,C4,1.03
US-Tw4,AmeriFlux,2013,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Tw4_FLUXNET2015_FULLSET_MM_2013-2017_beta-5.csv,True,WET,-5.0,38.1027,-121.6413,Twitchell East End Wetland,8,3,Csa,Temperate,C3,1.03
US-UMB,AmeriFlux,2007,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-UMB_FLUXNET2015_FULLSET_MM_2007-2017_beta-4.csv,True,DBF,234.0,45.5598,-84.7138,Univ. of Mich. Biological Station,26,4,Dfb,Cold,C3,10.72
